,id,timestamp,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,state,sub_area,area_m,raion_popul,healthcare_centers_raion,university_top_20_raion,shopping_centers_raion,oil_chemistry_raion,nuclear_reactor_raion,full_all,young_all,work_all,ekder_all,kremlin_km,big_road1_km,railroad_km,zd_vokzaly_avto_km,metro_km_avto,metro_km_walk,radiation_km,price_doc
21471,21474,2014-08-13,33,18.0,3.0,9.0,1.0,1970.0,1.0,7.0,2.0,Veshnjaki,10518366.87,118945,2,0,4,no,no,104410,11729,74032,33184,12.38679901,1.583438275,0.360981224,12.70692979,1.0768956490000001,1.0768956490000001,1.4123760680000002,5450000
29041,29044,2015-04-10,29,17.0,3.0,8.0,2.0,1965.0,1.0,5.0,2.0,Danilovskoe,12495435.25,91100,3,0,11,no,no,102590,12370,54478,24252,4.608146543,0.207823708,0.473905025,3.4692360730000003,0.908294507,0.906793223,1.334942883,2000000
18252,18255,2014-05-08,37,19.0,14.0,16.0,1.0,1988.0,1.0,9.0,2.0,Krylatskoe,12164477.11,78507,2,0,6,no,no,67710,10175,48620,19712,12.84017672,0.8032905640000001,3.360323529,14.08898369,1.0061213009999999,1.0061213009999999,2.122424858,8000000
29317,29320,2015-04-22,82,41.0,13.0,25.0,4.0,2009.0,2.0,16.0,4.0,Mitino,12583535.69,178473,1,0,11,no,no,21155,28563,120381,29529,16.9334225,0.291262875,0.24708372899999997,14.27298327,0.731743936,0.598300711,3.78697118,6000000
12990,12993,2013-12-11,84,51.0,14.0,17.0,1.0,2005.0,3.0,10.0,3.0,Beskudnikovskoe,3292112.223,73148,1,0,2,no,no,41504,9308,44449,19391,13.34104778,0.5953918770000001,0.835213839,9.632096799,1.307407796,1.307407796,2.379912706,12400000
14900,14903,2014-02-12,59,42.0,6.0,9.0,1.0,1978.0,3.0,6.0,3.0,Dmitrovskoe,7126815.285,87713,1,0,5,no,yes,100846,9604,61600,16509,14.37839081,0.8843925429999999,1.343263423,10.88602487,2.110211793,1.804003931,2.829502972,7800000
15975,15978,2014-03-13,44,28.0,4.0,9.0,1.0,1966.0,2.0,6.0,2.0,Kon'kovo,7811375.433999999,153248,3,0,11,no,no,123000,16468,100062,36718,12.7022561,1.6455179880000002,5.853371055,14.19088167,0.975295103,0.975295103,0.515619493,8100000
22116,22119,2014-09-02,91,87.0,3.0,4.0,1.0,0.0,3.0,12.0,1.0,Poselenie Pervomajskoe,118663840.1,7538,0,0,0,no,no,5740,1016,4880,1642,35.77068703,4.532678359,7.592549991,49.71190901,25.51658311,27.54026319,21.55147227,5955300
17337,17340,2014-04-14,45,29.0,6.0,9.0,1.0,1968.0,2.0,6.0,2.0,Vyhino-Zhulebino,15094874.77,219609,3,0,8,no,no,1318695,22341,140182,57086,12.78157918,1.130945005,1.034997938,14.44906965,1.5671126869999998,1.5671126869999998,0.658667297,6100000
18919,18922,2014-05-27,38,20.0,18.0,22.0,1.0,1986.0,1.0,10.0,3.0,Jasenevo,24813850.39,174831,1,0,7,no,no,178264,23483,105171,46177,15.82211665,2.199842916,5.892990245,18.01256716,1.220361274,1.251723293,2.071281939,8700000
21102,21105,2014-07-25,39,20.0,10.0,22.0,1.0,2000.0,1.0,10.0,3.0,Hovrino,5264733.751,80791,0,0,1,no,no,81887,11356,47628,21807,13.41638648,1.8382146730000002,1.2149143629999999,10.81026322,2.889871846,2.82247223,2.724782935,7100000
23224,23227,2014-10-03,86,56.0,6.0,8.0,2.0,1955.0,3.0,11.0,2.0,Sokol,3496889.653,57107,0,0,3,no,no,57995,6807,36496,13804,8.231417478,1.118846148,0.303166184,6.518224796,0.937651275,0.937651275,3.1684298969999998,3450000
13730,13733,2014-01-15,36,18.0,6.0,14.0,2.0,1975.0,1.0,9.0,2.0,Gagarinskoe,5540725.595,76670,0,0,4,no,no,106445,7850,46884,21936,7.4417661410000004,0.281257927,2.144926953,7.963239134,1.6298850930000002,1.6244757269999999,0.899798648,8750000
13995,13998,2014-01-22,59,43.0,4.0,9.0,1.0,1971.0,3.0,5.0,3.0,Beskudnikovskoe,3292112.223,73148,1,0,2,no,no,41504,9308,44449,19391,11.61326164,0.22209934,0.426072451,8.53964458,0.9718886040000001,0.410992001,0.904659405,8300000
16577,16580,2014-03-26,53,35.0,1.0,5.0,2.0,1960.0,3.0,5.0,2.0,Ivanovskoe,10207215.1,122862,1,0,1,no,no,157010,12919,77612,32331,12.71842426,1.035438627,0.855723468,12.56523352,0.772054493,0.772054493,1.744532375,7150000
14067,14070,2014-01-24,36,14.0,13.0,16.0,1.0,2007.0,1.0,9.0,3.0,Severnoe Tushino,9249237.174,156377,3,0,5,no,no,53786,22961,93843,39573,15.46183543,1.872485868,1.066812686,14.73718116,0.17189241800000002,0.17189241800000002,2.793220132,7300000
