,id,timestamp,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,state,sub_area,area_m,raion_popul,healthcare_centers_raion,university_top_20_raion,shopping_centers_raion,oil_chemistry_raion,nuclear_reactor_raion,full_all,young_all,work_all,ekder_all,kremlin_km,big_road1_km,railroad_km,zd_vokzaly_avto_km,metro_km_avto,metro_km_walk,radiation_km,price_doc
25822,25825,2014-12-04,45,30.0,3.0,5.0,1.0,1964.0,2.0,5.0,2.0,Kuz'minki,7984443.568,142243,1,0,5,no,no,31167,16405,93811,32027,10.17972258,0.96947467,0.5457580910000001,12.56574968,1.604994179,1.252560938,0.8544607120000001,2000000
23037,23040,2014-09-29,73,44.0,4.0,17.0,1.0,1985.0,3.0,10.0,3.0,Krylatskoe,12164477.11,78507,2,0,6,no,no,67710,10175,48620,19712,12.93175555,1.7629835530000002,2.541532597,13.61983505,0.165161009,0.165161009,1.618572146,15300000
27382,27385,2015-01-20,55,35.0,4.0,5.0,2.0,1961.0,3.0,5.0,2.0,Kuncevo,52351766.54,142462,0,0,3,no,no,78507,19784,85551,37127,13.25568066,1.636755379,1.300913735,13.67417866,1.5536501880000002,1.5536501880000002,1.402410944,8600000
24780,24783,2014-11-15,47,30.0,3.0,9.0,1.0,1978.0,2.0,6.0,3.0,Gol'janovo,14286990.83,157010,3,0,5,no,no,12327,16831,98260,41919,14.50425714,1.073766968,2.182843444,12.44115383,2.5002662019999997,2.5002662019999997,2.310449911,2000000
27706,27709,2015-02-04,47,28.0,2.0,12.0,1.0,1974.0,2.0,6.0,2.0,Otradnoe,10053051.74,175518,1,0,9,no,no,61396,21400,112133,41985,12.44577317,2.029489115,0.9697334590000001,10.39475142,1.500997365,1.4180414419999998,1.5561241909999999,8300000
24950,24953,2014-11-19,45,27.0,9.0,9.0,1.0,1971.0,2.0,5.0,3.0,Danilovskoe,12495435.25,91100,3,0,11,no,no,102590,12370,54478,24252,4.378661415,0.508044542,0.087584632,2.513077054,0.9120285340000001,0.729959062,1.7478597130000002,7500000
17122,17125,2014-04-08,36,25.0,7.0,8.0,5.0,1961.0,2.0,5.0,2.0,Nagatino-Sadovniki,7750777.821,76284,2,0,10,no,no,76156,10168,46080,20036,9.020066507000001,0.262974447,0.33881674700000003,8.438630965,1.908036544,1.838074999,0.7874792429999999,2000000
27783,27786,2015-02-09,53,32.0,11.0,16.0,1.0,1982.0,2.0,9.0,2.0,Beskudnikovskoe,3292112.223,73148,1,0,2,no,no,41504,9308,44449,19391,14.33419684,0.502746471,1.616807625,11.04055838,1.911607998,1.958537445,3.0027227389999998,8700000
21549,21552,2014-08-15,45,29.0,2.0,9.0,1.0,1971.0,2.0,6.0,3.0,Kon'kovo,7811375.433999999,153248,3,0,11,no,no,123000,16468,100062,36718,13.84167892,3.404870745,5.593525896,15.29824776,1.058191598,1.043702541,0.704851476,7400000
23933,23936,2014-10-25,39,20.0,3.0,12.0,1.0,1978.0,1.0,8.0,3.0,Orehovo-Borisovo Juzhnoe,7128794.3379999995,145576,1,0,6,no,no,129207,13595,104635,27346,17.24121071,1.251954094,2.8088850689999996,18.023013,1.053611372,1.053611372,3.040963234,2000000
